merchant_name_clean ,account_manager,merchant_id,merchant_category,default_region,standard_date_format,standrized_status_value,standarized_gateway_region,standrized_risk_score,merchant_key,amount_usd,high_risk_flag,high_value_flag
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-01,CAPTURED,APAC,62,46082|INR,4998,0,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-01,CAPTURED,,55,46082|INR,2499,0,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-01,CAPTURED,APAC,71,46082|INR,6069,1,1
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-02,FAILED,APAC,68,46083|INR,1920,0,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-02,CAPTURED,,58,46083|INR,4680,0,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-02,CAPTURED,,64,46083|INR,3300,0,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-02,CHARGEBACK,APAC,83,46083|INR,5400,1,1
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-03,CAPTURED,,59,46084|INR,4114,0,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-03,CAPTURED,APAC,46,46084|INR,1512.5,0,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-03,CAPTURED,,77,46084|INR,7381,1,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-03,FAILED,,61,46084|INR,2359.5,0,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-04,CAPTURED,APAC,61,46085|INR,3000,0,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-04,CAPTURED,APAC,54,46085|INR,3720,0,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-04,CAPTURED,APAC,73,46085|INR,5640,1,1
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-04,CAPTURED,,52,46085|INR,1560,0,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-05,FAILED,,69,46086|INR,2596,0,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-05,FAILED,APAC,72,46086|INR,2124,1,0
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-05,CHARGEBACK,APAC,86,46086|INR,1711,1,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-05,FAILED,APAC,67,46086|INR,3068,0,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-05,CAPTURED,APAC,75,46086|INR,6136,1,1
Beta Stores,Rohan Mehta,M002,Electronics,APAC,2026-03-06,CAPTURED,,63,46087|INR,3927,0,0
Alpha Mart,Aisha Khan,M001,Grocery,APAC,2026-03-06,CAPTURED,APAC,60,46087|INR,4879,0,0
City Pharma,Elena Rossi,M003,Healthcare,EU,2026-03-01,CAPTURED,EU,42,46082|EUR,5616,0,0
Eco Home,Nina Weber,M005,Home,EU,2026-03-02,CHARGEBACK,EU,65,46083|EUR,6649,1,1
City Pharma,Elena Rossi,M003,Healthcare,EU,2026-03-03,CAPTURED,EU,38,46084|EUR,3024,0,0
Eco Home,Nina Weber,M005,Home,EU,2026-03-05,FAILED,EU,44,46086|EUR,3597,0,0
Delta Travels,Marcus Lee,M004,Travel,US,2026-03-01,CAPTURED,US,49,46082|USD,7200,0,1
Delta Travels,Marcus Lee,M004,Travel,US,2026-03-02,CAPTURED,US,41,46083|USD,3100,0,0
Delta Travels,Marcus Lee,M004,Travel,US,2026-03-04,CHARGEBACK,US,58,46085|USD,2500,1,0
Delta Travels,Marcus Lee,M004,Travel,US,2026-03-06,FAILED,US,47,46087|USD,1800,0,0
